iter	Passed	Remaining
0	164	163948
1	175	87776
2	185	61689
3	197	49150
4	208	41460
5	219	36284
6	229	32558
7	240	29817
8	251	27693
9	264	26145
10	274	24702
11	285	23490
12	296	22494
13	307	21674
14	319	20950
15	330	20322
16	342	19796
17	354	19362
18	366	18942
19	379	18571
20	390	18221
21	403	17943
22	416	17697
23	429	17469
24	442	17271
25	456	17090
26	470	16958
27	483	16790
28	496	16639
29	510	16506
30	523	16378
31	540	16348
32	553	16225
33	566	16098
34	580	16002
35	593	15902
36	606	15787
37	618	15669
38	631	15556
39	643	15450
40	656	15354
41	668	15246
42	682	15198
43	696	15135
44	709	15052
45	721	14964
46	734	14893
47	747	14824
48	760	14750
49	774	14706
50	786	14636
51	799	14567
52	812	14512
53	825	14463
54	838	14409
55	852	14375
56	866	14338
57	879	14286
58	894	14259
59	907	14221
60	921	14185
61	935	14147
62	948	14112
63	964	14104
64	978	14079
65	992	14047
66	1006	14020
67	1021	13999
68	1035	13968
69	1049	13938
70	1063	13913
71	1077	13881
72	1091	13862
73	1106	13842
74	1121	13826
75	1135	13804
76	1150	13794
77	1165	13778
78	1180	13763
79	1194	13737
80	1208	13706
81	1221	13677
82	1235	13653
83	1250	13639
84	1264	13607
85	1277	13581
86	1290	13541
87	1303	13513
88	1316	13479
89	1330	13451
90	1342	13413
91	1356	13387
92	1370	13361
93	1384	13345
94	1397	13312
95	1410	13280
96	1422	13245
97	1435	13212
98	1449	13190
99	1462	13162
100	1475	13132
101	1488	13100
102	1500	13071
103	1514	13047
104	1527	13023
105	1540	12996
106	1554	12970
107	1566	12936
108	1578	12906
109	1591	12878
110	1604	12847
111	1617	12821
112	1641	12887
113	1669	12971
114	1689	13003
115	1704	12987
116	1718	12968
117	1732	12948
118	1746	12927
119	1760	12910
120	1776	12904
121	1790	12886
122	1806	12876
123	1820	12859
124	1833	12834
125	1847	12813
126	1860	12789
127	1874	12771
128	1887	12745
129	1901	12725
130	1914	12698
131	1927	12672
132	1941	12658
133	1955	12638
134	1969	12616
135	1981	12588
136	1994	12565
137	2006	12536
138	2019	12509
139	2032	12484
140	2044	12455
141	2057	12430
142	2070	12406
143	2083	12383
144	2096	12360
145	2108	12335
146	2121	12311
147	2134	12286
148	2146	12257
149	2158	12230
150	2171	12207
151	2185	12190
152	2198	12170
153	2211	12147
154	2225	12132
155	2238	12112
156	2251	12090
157	2264	12067
158	2277	12046
159	2289	12021
160	2302	11999
161	2315	11979
162	2327	11952
163	2340	11930
164	2360	11943
165	2386	11989
166	2404	11991
167	2417	11973
168	2430	11952
169	2443	11928
170	2455	11903
171	2468	11881
172	2480	11856
173	2493	11835
174	2507	11820
175	2519	11797
176	2532	11776
177	2546	11758
178	2559	11739
179	2572	11719
180	2585	11699
181	2598	11679
182	2613	11668
183	2628	11655
184	2643	11644
185	2657	11628
186	2670	11611
187	2683	11592
188	2696	11570
189	2708	11548
190	2721	11527
191	2733	11504
192	2746	11482
193	2758	11460
194	2770	11438
195	2784	11420
196	2796	11400
197	2810	11382
198	2822	11360
199	2833	11334
200	2845	11312
201	2858	11293
202	2871	11272
203	2882	11249
204	2894	11226
205	2907	11205
206	2919	11184
207	2932	11165
208	2945	11147
209	2957	11124
210	2969	11104
211	2981	11083
212	2993	11062
213	3006	11041
214	3018	11021
215	3030	11000
216	3042	10978
217	3054	10957
218	3066	10936
219	3079	10919
220	3091	10898
221	3105	10881
222	3117	10862
223	3129	10841
224	3142	10822
225	3155	10805
226	3168	10789
227	3181	10771
228	3194	10754
229	3207	10739
230	3221	10724
231	3233	10704
232	3247	10689
233	3260	10673
234	3273	10655
235	3286	10638
236	3298	10620
237	3311	10602
238	3324	10586
239	3336	10566
240	3350	10551
241	3362	10532
242	3374	10513
243	3386	10493
244	3399	10474
245	3410	10454
246	3423	10436
247	3435	10418
248	3447	10398
249	3459	10379
250	3472	10362
251	3486	10347
252	3499	10332
253	3512	10315
254	3524	10296
255	3536	10279
256	3549	10261
257	3561	10242
258	3573	10224
259	3585	10205
260	3597	10186
261	3610	10171
262	3624	10156
263	3637	10141
264	3651	10128
265	3664	10112
266	3678	10098
267	3691	10083
268	3704	10067
269	3717	10050
270	3731	10037
271	3744	10022
272	3758	10008
273	3773	9997
274	3786	9981
275	3799	9966
276	3812	9951
277	3826	9938
278	3839	9923
279	3853	9910
280	3868	9898
281	3881	9882
282	3895	9869
283	3911	9862
284	3924	9845
285	3937	9828
286	3949	9812
287	3962	9795
288	3975	9779
289	3987	9762
290	4000	9745
291	4012	9729
292	4025	9712
293	4038	9697
294	4052	9683
295	4064	9667
296	4077	9651
297	4089	9634
298	4102	9617
299	4114	9599
300	4125	9580
301	4136	9561
302	4148	9542
303	4159	9521
304	4170	9503
305	4183	9487
306	4195	9470
307	4207	9453
308	4219	9435
309	4232	9421
310	4244	9403
311	4255	9384
312	4268	9368
313	4279	9349
314	4290	9331
315	4303	9314
316	4315	9299
317	4328	9283
318	4339	9264
319	4352	9248
320	4363	9230
321	4375	9212
322	4387	9196
323	4399	9178
324	4410	9160
325	4422	9143
326	4434	9125
327	4445	9108
328	4458	9092
329	4470	9077
330	4482	9059
331	4494	9042
332	4505	9024
333	4517	9008
334	4529	8991
335	4541	8974
336	4553	8957
337	4565	8941
338	4578	8927
339	4591	8913
340	4605	8899
341	4617	8883
342	4629	8867
343	4641	8850
344	4652	8833
345	4665	8818
346	4676	8800
347	4688	8783
348	4699	8766
349	4711	8749
350	4723	8733
351	4736	8719
352	4748	8702
353	4760	8686
354	4771	8669
355	4784	8655
356	4797	8640
357	4808	8622
358	4820	8607
359	4832	8591
360	4844	8575
361	4858	8562
362	4871	8548
363	4884	8534
364	4896	8518
365	4908	8503
366	4920	8487
367	4932	8471
368	4944	8454
369	4956	8438
370	4968	8423
371	4979	8406
372	4991	8391
373	5003	8375
374	5016	8361
375	5028	8345
376	5040	8329
377	5052	8313
378	5065	8300
379	5077	8284
380	5089	8268
381	5101	8253
382	5113	8237
383	5124	8221
384	5138	8207
385	5150	8193
386	5163	8178
387	5175	8162
388	5186	8146
389	5198	8130
390	5210	8114
391	5221	8098
392	5233	8082
393	5244	8066
394	5256	8050
395	5267	8034
396	5279	8018
397	5293	8006
398	5305	7991
399	5317	7975
400	5328	7960
401	5341	7945
402	5353	7931
403	5365	7915
404	5376	7899
405	5387	7882
406	5399	7867
407	5412	7853
408	5425	7839
409	5438	7825
410	5450	7810
411	5461	7794
412	5473	7779
413	5485	7764
414	5496	7748
415	5508	7733
416	5520	7717
417	5531	7702
418	5543	7687
419	5554	7670
420	5568	7657
421	5579	7642
422	5591	7627
423	5603	7611
424	5614	7596
425	5626	7580
426	5638	7565
427	5649	7550
428	5661	7535
429	5672	7520
430	5685	7506
431	5699	7493
432	5711	7478
433	5723	7464
434	5735	7449
435	5747	7435
436	5761	7423
437	5774	7409
438	5787	7395
439	5799	7381
440	5811	7366
441	5824	7352
442	5837	7339
443	5850	7325
444	5863	7312
